Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_30,4:GPU,Yes,3186.6,98.3,85.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_30,4:GPU,Yes,3186.6,98.7,79.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_30,4:GPU,Yes,3186.6,87.7,77.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_30,4:GPU,Yes,3186.6,89.3,77.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_30,4:GPU,Yes,3186.6,68.8,63.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_30,4:GPU,Yes,3186.6,68.8,59.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_30,4:GPU,Yes,3186.6,45.8,45.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_30,4:GPU,Yes,3186.6,91.3,53.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_30,4:GPU,Yes,3186.6,79.3,48.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_30,4:GPU,Yes,3186.6,65.3,42.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_30,4:GPU,Yes,3186.6,62.3,35.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_14,2:GPU,Yes,1972.4,97.0,86.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_14,2:GPU,Yes,1972.4,98.7,81.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_14,2:GPU,Yes,1972.4,97.3,88.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_14,2:GPU,Yes,1972.4,72.0,68.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_14,2:GPU,Yes,1972.4,51.5,63.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_14,2:GPU,Yes,1972.4,70.2,60.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_14,2:GPU,Yes,1972.4,67.8,55.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_14,2:GPU,Yes,1972.4,59.7,46.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_14,2:GPU,Yes,1972.4,93.3,49.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_14,2:GPU,Yes,1972.4,84.0,46.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_14,2:GPU,Yes,1972.4,57.2,34.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_6,1:GPU,Yes,1364.2,95.0,84.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_6,1:GPU,Yes,1364.2,86.3,72.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_6,1:GPU,Yes,1364.2,85.0,82.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_6,1:GPU,Yes,1364.2,71.0,68.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_6,1:GPU,Yes,1364.2,55.7,53.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_6,1:GPU,Yes,1364.2,65.5,54.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_6,1:GPU,Yes,1364.2,48.8,66.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_6,1:GPU,Yes,1364.2,63.0,51.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_6,1:GPU,Yes,1364.2,66.2,45.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_6,1:GPU,Yes,1364.2,66.2,41.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_6,1:GPU,Yes,1364.2,60.8,40.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_7,1:GPU,Yes,1401.9,98.7,84.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_7,1:GPU,Yes,1401.9,83.3,79.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_7,1:GPU,Yes,1401.9,74.3,76.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_7,1:GPU,Yes,1401.9,71.2,71.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_7,1:GPU,Yes,1401.9,74.5,68.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_7,1:GPU,Yes,1401.9,63.5,55.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_7,1:GPU,Yes,1401.9,50.7,39.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_7,1:GPU,Yes,1401.9,54.8,48.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_7,1:GPU,Yes,1401.9,45.7,42.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_7,1:GPU,Yes,1401.9,79.8,46.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_7,1:GPU,Yes,1401.9,56.7,41.1
