Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
resnet50,1,512,resnet50_config_30,4:GPU,64,Yes,2291.8,244.0
resnet50,1,256,resnet50_config_30,4:GPU,64,Yes,2212.2,137.8
resnet50,1,1024,resnet50_config_30,4:GPU,64,Yes,2088.0,916.5
resnet50,1,128,resnet50_config_30,4:GPU,64,Yes,1949.3,91.7
resnet50,1,64,resnet50_config_30,4:GPU,64,Yes,1781.4,61.4
resnet50,1,32,resnet50_config_30,4:GPU,64,Yes,1554.2,29.3
resnet50,1,16,resnet50_config_30,4:GPU,64,Yes,1201.0,18.1
resnet50,1,8,resnet50_config_30,4:GPU,64,Yes,827.0,13.1
resnet50,1,4,resnet50_config_30,4:GPU,64,Yes,654.4,8.4
resnet50,1,2,resnet50_config_30,4:GPU,64,Yes,442.8,6.5
resnet50,1,1,resnet50_config_30,4:GPU,64,Yes,390.2,3.7
resnet50,1,512,resnet50_config_14,2:GPU,64,Yes,2288.3,242.1
resnet50,1,1024,resnet50_config_14,2:GPU,64,Yes,2253.4,815.5
resnet50,1,256,resnet50_config_14,2:GPU,64,Yes,2206.4,136.3
resnet50,1,128,resnet50_config_14,2:GPU,64,Yes,1967.1,83.1
resnet50,1,64,resnet50_config_14,2:GPU,64,Yes,1898.4,53.7
resnet50,1,32,resnet50_config_14,2:GPU,64,Yes,1686.2,28.6
resnet50,1,16,resnet50_config_14,2:GPU,64,Yes,1405.9,16.9
resnet50,1,8,resnet50_config_14,2:GPU,64,Yes,1063.4,10.9
resnet50,1,4,resnet50_config_14,2:GPU,64,Yes,630.6,7.8
resnet50,1,2,resnet50_config_14,2:GPU,64,Yes,596.0,5.6
resnet50,1,1,resnet50_config_14,2:GPU,64,Yes,394.4,3.2
resnet50,1,1024,resnet50_config_6,1:GPU,64,Yes,2230.1,474.4
resnet50,1,256,resnet50_config_6,1:GPU,64,Yes,1947.2,158.5
resnet50,1,512,resnet50_config_6,1:GPU,64,Yes,1931.8,303.0
resnet50,1,128,resnet50_config_6,1:GPU,64,Yes,1648.8,103.6
resnet50,1,32,resnet50_config_6,1:GPU,64,Yes,1543.6,32.7
resnet50,1,16,resnet50_config_6,1:GPU,64,Yes,1446.2,17.4
resnet50,1,64,resnet50_config_6,1:GPU,64,Yes,1427.4,82.2
resnet50,1,8,resnet50_config_6,1:GPU,64,Yes,1072.2,12.4
resnet50,1,4,resnet50_config_6,1:GPU,64,Yes,727.1,8.4
resnet50,1,2,resnet50_config_6,1:GPU,64,Yes,552.3,6.2
resnet50,1,1,resnet50_config_6,1:GPU,64,Yes,381.8,3.9
resnet50,1,1024,resnet50_config_7,1:GPU,128,Yes,2202.5,508.6
resnet50,1,512,resnet50_config_7,1:GPU,128,Yes,2169.1,295.4
resnet50,1,256,resnet50_config_7,1:GPU,128,Yes,1631.0,181.7
resnet50,1,128,resnet50_config_7,1:GPU,128,Yes,1629.8,99.3
